	atomic_number	symbol	mass_number	Relative Atomic Mass	Isotopic  Composition	Standard Atomic Weight	Standard Isotope	delta neutrons
0	1.0	H	1.0	1.007825032239	0.9998857	['1.00784', '1.00811']	True	0.0
1	1.0	H	2.0	2.0141017781212	0.0001157		False	1.0
2	2.0	He	3.0	3.016029320125	1.343e-06	['4.0026022']	False	-1.0
3	2.0	He	4.0	4.002603254136	0.999998663		True	0.0
4	3.0	Li	6.0	6.015122887416	0.07594	['6.938', '6.997']	False	-1.0
5	3.0	Li	7.0	7.016003436645	0.92414		True	0.0
6	4.0	Be	9.0	9.01218306582	1.0	['9.01218315']	True	0.0
7	5.0	B	10.0	10.0129369541	0.1997	['10.806', '10.821']	False	-1.0
8	5.0	B	11.0	11.0093053645	0.8017		True	0.0
9	6.0	C	12.0	12.0	0.98938	['12.0096', '12.0116']	True	0.0
10	6.0	C	13.0	13.0033548350723	0.01078		False	1.0
11	7.0	N	14.0	14.003074004432	0.996362	['14.00643', '14.00728']	True	0.0
12	7.0	N	15.0	15.0001088988864	0.003642		False	1.0
13	8.0	O	16.0	15.9949146195717	0.9975716	['15.99903', '15.99977']	True	0.0
14	8.0	O	17.0	16.9991317565069	0.000381		False	1.0
15	8.0	O	18.0	17.9991596128676	0.0020514		False	2.0
16	9.0	F	19.0	18.9984031627392	1.0	['18.9984031636']	True	0.0
17	10.0	Ne	20.0	19.992440176217	0.90483	['20.17976']	True	0.0
18	10.0	Ne	21.0	20.99384668541	0.00271		False	1.0
19	10.0	Ne	22.0	21.99138511418	0.09253		False	2.0
20	11.0	Na	23.0	22.989769282019	1.0	['22.989769282']	True	0.0
21	12.0	Mg	24.0	23.98504169714	0.78994	['24.304', '24.307']	True	0.0
22	12.0	Mg	25.0	24.9858369765	0.10001		False	1.0
23	12.0	Mg	26.0	25.98259296831	0.11013		False	2.0
24	13.0	Al	27.0	26.9815385311	1.0	['26.98153857']	True	0.0
25	14.0	Si	28.0	27.9769265346544	0.9222319	['28.084', '28.086']	True	0.0
26	14.0	Si	29.0	28.9764946649052	0.046858		False	1.0
27	14.0	Si	30.0	29.97377013623	0.0309211		False	2.0
28	15.0	P	31.0	30.973761998427	1.0	['30.9737619985']	True	0.0
29	16.0	S	32.0	31.972071174414	0.949926	['32.059', '32.076']	True	0.0
30	16.0	S	33.0	32.971458909815	0.00752		False	1.0
